title,genre,description
Death Note: The Last Name,"Fantasy, Thriller, Mystery","In the second installment of the Death Note film franchise, Light Yagami meets a second Kira and faithful follower Misa Amane and her Shinigami named Rem. Light attempts to defeat L along with Teru Mikami (a Kira follower) and Kiyomi Takada (another Kira follower) but in the end will Light win? or will a Shinigami named Ryuk make all the difference in Light's victory or his ultimate death?"
The Northman,"Action, Adventure, Fantasy","Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father."
F9,"Action, Adventure, Crime",Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.
Superman/Batman: Public Enemies,"Science Fiction, Animation, Adventure, Drama","United States President Lex Luthor uses the oncoming trajectory of a Kryptonite meteor to frame Superman and declare a $1 billion bounty on the heads of the Man of Steel and his ‘partner in crime’, Batman. Heroes and villains alike launch a relentless pursuit of Superman and Batman, who must unite—and recruit help—to try and stave off the action-packed onslaught, stop the meteor Luthors plot."
The Addams Family,"Comedy, Fantasy","When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life."
M3GAN,"Science Fiction, Horror","A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results."
The Courier,"Thriller, History, Drama",Cold War spy Greville Wynne and his Russian source try to put an end to the Cuban Missile Crisis.
Son of Batman,"Animation, Action, Adventure","Batman learns he has a violent, unruly pre-teen son, secretly raised by the terrorist group known as The League of Assassins."
Real Steel,"Action, Science Fiction, Drama","Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender."
Scarecrow,Drama,"Two drifters bum around, visit earthy women and discuss opening a car wash in Pittsburgh."
And Then There Were None,"Crime, Drama, Mystery","Ten strangers are summoned to a remote island and while they are waiting for the mysterious host to appear, a recording levels serious accusations at each of the guests. Soon they start being murdered, one by one. As the survivors try to keep their wits, they reach a disturbing conclusion: one of them must be the killer."
The School for Good and Evil,"Fantasy, Comedy, Adventure, Drama",Best friends Sophie and Agatha navigate an enchanted school for young heroes and villains — and find themselves on opposing sides of the battle between good and evil.
Despicable Me 4,"Animation, Family, Comedy, Science Fiction","Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run."
Reign of the Supermen,"Science Fiction, Animation, Action, Adventure, Fantasy","In the wake of The Death of Supermen, the world is still mourning the loss of the Man of Steel following his fatal battle with the monster Doomsday. However, no sooner as his body been laid to rest than do four new bearers of the Superman shield come forward to take on the mantle. The Last Son of Krypton, Superboy, Steel, and the Cyborg Superman all attempt to fill the vacuum left by the world's greatest champion. Meanwhile, Superman's death has also signaled to the universe that Earth is vulnerable. Can these new Supermen and the rest of the heroes prove them wrong?"
The Vikings,"Adventure, History, Action","Einar, brutal son of Ragnar and future heir to his throne, tangles with Eric, a wily slave, for the hand of a beautiful English maiden."
Radio Days,"Comedy, Drama","The Narrator tells us how the radio influenced his childhood in the days before TV. In the New York City of the late 1930s to the New Year's Eve 1944, this coming-of-age tale mixes the narrator's experiences with contemporary anecdotes and urban legends of the radio stars."
A Brighter Tomorrow,Comedy,"An old film director, unhappy with the movie he's shooting about a Hungarian circus stranded in Rome during the 1956 anti-Soviet uprising, faces divorce from his producer wife and other problems."
Kiss of the Spider Woman,Drama,"The story of two radically different men thrown together in a Latin American prison cell. One is Valentin, a journalist being tortured for his political beliefs. The other is Molina, a gay window-dresser who fills their lonely nights by spinning romantic fantasies drawn from memories of old movies."
Gallipoli,"War, History, Drama","As World War I rages, brave and youthful Australians Archy and Frank—both agile runners—become friends and enlist in the Australian and New Zealand Army Corps together. They later find themselves part of the Dardanelles Campaign on the Gallipoli peninsula, a brutal eight-month conflict which pit the British and their allies against the Ottoman Empire and left over 500,000 men dead."
Transamerica,"Drama, Adventure, Comedy","A transgender woman takes an unexpected journey when she learns that she had a son, now a teenage runaway hustling on the streets of New York."
7 Prisoners,"Drama, Crime",An impoverished teen seeking to escape the clutches of a human trafficker must weigh living up to his moral code against his struggle to survive.
The Brutalist,Drama,"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, wealthy client."
